Reference|Sample|Age|Age_sigma|Latitude|Longitude|Location|GeodynamicContext|SiO2|TiO2|Al2O3|Cr2O3|FeOT|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|Nb|Ta|Rb|Fe2_FeT|Fe2O3_TiO2|SiO2_Primary|TiO2_Primary|Al2O3_Primary|Cr2O3_Primary|Fe2O3_Primary|FeO_Primary|MnO_Primary|MgO_Primary|CaO_Primary|Na2O_Primary|K2O_Primary|NiO_Primary|P2O5_Primary|T_OL|T_p|OL_Mg|F_AFM|Pi|Pf|Residual_Mineralogy
PAPUNEN et al.,2009|s.92TOH 94-1|2800||64.3056|29.0459|BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / KUHMO GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|44.95|0.474|10.75||10.53|0.208|17.39|9.76|0.58|0.12||0.02|1||0.07|0.97974358974359|0.5|46.8276159111533|0.456139561419994|10.3313578811967||0.227362236316181|10.6504339529494|0.212619425450857|21.2166851506655|9.38706516292551|0.556413911659853|0.115120119653763||0.01918668660896|1442.97700347174|1593.98478609131|0.92220413571652|0.328134869094326|5|3|Harzburgite
PAPUNEN et al.,1998|s.21|2755|5|64.2335|29.08985|BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / KUHMO GREENSTONE BELT / KELLOJ腞VI GROUP - SIIVIIKO FORMATION - VAARA MEMBER|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.02|0.44|8.92|0.35|11.15|0.23|22.03|8.43|0.36|0.021||0.03||||0.982242152466367|0.5|47.7299521419638|0.422380940627291|8.55949914124957|0.340504550743008|0.210899364709198|10.8100167122005|0.22619755478234|23.2154912490093|8.09105998609908|0.345108051342324|0.020131302994969||0.028759004278527|1474.45687151961|1643.69049087131|0.926325783551138|0.420944771719647|6|2.5|Harzburgite
PAPUNEN et al.,1998|s.22|2755|5|64.2335|29.08985|BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / KUHMO GREENSTONE BELT / KELLOJ腞VI GROUP - SIIVIIKO FORMATION - VAARA MEMBER|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.67|0.38|8.17|0.37|10.74|0.23|22.61|8.51|0.25|0.011||0.03||||0.984078212290503|0.5|48.5280571009935|0.372929859507293|8.01661333854337|0.365361538557787|0.186345777938494|10.5070752385729|0.228246286812857|23.1589327545546|8.35103483409755|0.245191813076965|0.010788439775386||0.029423017569236|1470.4332604528|1642.29323880854|0.927157732610508|0.461697451375817|6|2.5|Harzburgite
PAPUNEN et al.,1998|s.24|2755|5|64.2335|29.08985|BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / KUHMO GREENSTONE BELT / KELLOJ腞VI GROUP - SIIVIIKO FORMATION - VAARA MEMBER|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|47.81|0.39|8.47|0.39|10.82|0.2|23.92|7.76|0.18|0.011||0.02||||0.983780036968577|0.5|47.9996154962078|0.400490757898911|8.69949913337031|0.397155709715802|0.200421314793475|10.7473593798518|0.202334883210998|23.1668487862501|7.96940839807811|0.185004290578593|0.011305817757581||0.02055603228651|1471.43612249976|1642.48883314122|0.926190831692752|0.429884789070066|6|2.5|Harzburgite
PAPUNEN et al.,1998|s.25|2755|5|64.2335|29.08985|BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / KUHMO GREENSTONE BELT / KELLOJ腞VI GROUP - SIIVIIKO FORMATION - VAARA MEMBER|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.5|0.34|8.09|0.37|10.6|0.2|23.66|8.09|0.1|0.011||0.02||||0.985566037735849|0.5|48.6171042685882|0.34521520692625|8.21497735662544|0.373879529552613|0.172694403497625|10.5038489437787|0.201335914792271|23.2233869138778|8.21448118672473|0.101584943233897|0.011174343755729||0.020316988646779|1469.56417883348|1643.88550695776|0.927244098716769|0.467060577577477|6|2.5|Harzburgite
ORDONEZ-CALDERON et al.,2009|s.498235|3070||64.8619|-50.1987|NORTH ATLANTIC CRATON_ARCHEAN / GREENLAND - UJARASSUIT GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|51.2|0.79|14.6||10.18|0.21|6.26|13.9|1.3|0.34||0.06|1.39|0.07|12|0.96507858546169|0.5|47.4270701929316|0.504215518857692|9.22584583095033||0.248171343880024|10.7004373527293|0.203576853464634|21.7735227143706|8.84908099130685|0.816766448212737|0.213615840301793||0.037696912994434|1456.23615186297|1607.89950115397|0.922943135936907|0.357309620213782|5.5|2.5|Harzburgite
ORDONEZ-CALDERON et al.,2009|s.498256B|3070||64.9164|-50.2065|NORTH ATLANTIC CRATON_ARCHEAN / GREENLAND - UJARASSUIT GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|49.2|0.4|13.81||10.01|0.21|11.26|12.47|1.32|0.14||0.03|0.31|0.02|4|0.982017982017982|0.5|47.8503101392139|0.322255249061268|11.0722087408388||0.159882053876821|9.97265810535175|0.203737181644717|19.1980650298217|10.0297621988087|1.05522155558703|0.111917437713775||0.023982308081523|1411.35936791848|1543.1051409782|0.918313953836024|0.306935357462976|4.2|1.5|Harzburgite
POLAT et al.,2009|s.499702MA|3080||64.7463|-49.8599|NORTH ATLANTIC CRATON_ARCHEAN / GREENLAND - IVISAARTOQ GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.2|0.63|14.2||11.43|0.25|8.7|13.7|1.2|0.21||0.05|8.78|0.43|7.3|0.975196850393701|0.5|46.0104957349591|0.42784185364565|9.56626909566101||0.211030185386391|11.2721600066817|0.235131011002163|22.0191948601817|9.2797690916438|0.803924515757679|0.140686790257594||0.033496854823237|1462.97347438939|1614.02199784878|0.921967610542296|0.272204136666971|5.5|4|Garnet Peridotite
SHIMIZU et al.,2009|s.A01SP1|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|47.9|0.74|11.8|0.7|9.5|0.18|17.9|10|1.24|0.069|0.05||4|||0.964947368421053|0.5|48.0446579766809|0.759508621816293|12.1169777514806|0.711326261678015|0.380101015195276|9.18941603503416|0.181154421219105|16.9626124553102|10.2655932502535|1.27385205092471|0.070883702833714|0.043916457573555||1377.14109243113|1485.96137763191|0.914499983968191|0.275464821032217|3.6|1.5|Harzburgite
SHIMIZU et al.,2009|s.A03SP5|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|50.2|0.83|12.7|1.1|8.7|0.15|12.7|11.6|1.48|0.063|0.08||4|||0.957068965517241|0.5|49.7031001065719|0.77837956900431|11.8911167737753|1.06123606511914|0.38829184369989|8.42344954419344|0.149292829250563|15.1622863278501|10.8730526594627|1.38475163536347|0.058945508802634|0.126097136906511||1345.46591746492|1439.33021513474|0.910511882156046|0.274838579962992|3.2|1|Harzburgite
SHIMIZU et al.,2009|s.A04SP6|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|48.4|0.67|12.2|1.3|9.7|0.16|11.5|12|1.31|0.006|0||0.6|||0.968917525773196|0.5|48.0598616399691|0.567877937039535|10.297571836564|1.19050748026636|0.282069605052726|9.71112068970657|0.158906953999609|18.4675377765374|10.1564756323591|1.10301845557932|0.005051992926317|||1405.17960110733|1524.52338448063|0.916644537333834|0.299880162995131|4|1.5|Harzburgite
SHIMIZU et al.,2009|s.A08SP2|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|50.8|0.7|13.4|1.2|7.8|0.15|12.6|11.6|1.55|0.056|0.02||2.8|||0.959615384615385|0.5|50.7513923620672|0.694491438669439|13.2915570943587|1.19523753881571|0.347140460259465|7.50770575112777|0.150083573991295|12.9400743322827|11.5079992301829|1.5373363240062|0.055542473641515|0.021439420597101||1297.46824228371|1381.02070191038|0.906281897122159|0.253537851298105|2.65|1|Harzburgite
SHIMIZU et al.,2009|s.A08SP3|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|50.1|0.7|14.9|0.8|9.1|0.16|9.6|12.4|1.99|0.039|0.05||11.3|||0.965384615384615|0.5|48.3070784696832|0.573600012514692|12.1508087792509|0.714532248333569|0.284866739180095|9.08636953071385|0.157646530017825|16.7096638760197|10.1472321695184|1.61967088848111|0.031742293794354|0.216788462492326||1379.92709120727|1479.4425060388|0.91404030448874|0.274516885184602|3.6|1.2|Harzburgite
SHIMIZU et al.,2009|s.A09SP2|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|51.9|0.55|13.2|1.3|9.2|0.15|9.9|12.4|1.76|0.056|0||3.1|||0.973097826086956|0.5|49.4455478820918|0.443732555906721|10.5965224183159|1.14761677024702|0.220270487610436|9.22992019063698|0.146422393911828|17.3259859057239|9.98939519373518|1.40973112070679|0.044855081113398|||1386.66487376714|1495.30725474486|0.914076819021975|0.303698923319567|3.8|1|Harzburgite
SHIMIZU et al.,2009|s.A10SP1|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|48.7|0.52|12.9|1.1|9.4|0.19|13.2|11.5|1.75|0.024|0.03||1.2|||0.975106382978723|0.5|48.1122926024849|0.469256542543675|11.6135445972328|1.03685722341466|0.233759429678881|9.23611733340213|0.187484090024116|17.0892749773555|10.3692721970505|1.57338077668478|0.02157779350882|0.057182436619267||1384.96450666006|1489.22162553523|0.914778424382809|0.276595974474559|3.7|1.5|Harzburgite
SHIMIZU et al.,2009|s.A12SP2|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|49.8|0.41|14.8|0.9|8.8|0.13|9.9|12.6|2.05|0.048|0.03||1.2|||0.979034090909091|0.5|48.4418802132506|0.34576945146437|12.4281985669381|0.818965123280375|0.171859137413347|8.92057636340793|0.12903041909153|16.2602355998626|10.6134099727963|1.71859137413347|0.040240188272394|0.111243590088904||1369.8509200142|1467.83353616798|0.913453770036635|0.266894412720703|3.7|1.5|Harzburgite
SHIMIZU et al.,2009|s.B01SP3|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|48.4|0.6|14.9|1|9.6|0.2|10.2|12.5|1.8|0.027|0.02||0.3|||0.971875|0.5|47.1134469024413|0.490399891102615|12.1196766633125|0.891811956716018|0.243470167107183|9.57117545271515|0.196384457084775|17.6070912316978|10.2016284963408|1.4608210026431|0.021912315039647|0.082181463799116||1394.43875228473|1502.52199764869|0.915432806534457|0.24704656959387|3.8|2|Spinel Peridotite
SHIMIZU et al.,2009|s.B03SP2|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|47.5|0.22|11|0.6|9.7|0.19|20.3|9.1|0.81|0.033|0.05||0.8|||0.98979381443299|0.5|48.1235080760757|0.233369487965717|11.6775889409906|0.62464612389106|0.116896062147302|9.76455521119358|0.194493865430483|18.6718220642636|9.65616827977999|0.860780093993768|0.035068818644191|0.041102975624054||1403.66225959486|1529.72860814518|0.916860270913917|0.30723376574335|4|1.5|Harzburgite
SHIMIZU et al.,2009|s.D04SP2|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|50.9|0.58|14.7|0.8|7.6|0.17|9.9|11.8|1.92|0.039|0.03||0.3|||0.965657894736842|0.5|50.7113457023503|0.539600027088539|13.6443501091299|0.775344142012386|0.268991404398992|7.67734832015604|0.173096063281601|13.3545975049619|10.9722045921827|1.78090860843471|0.03617470610883|0.066038819893991||1308.9044384314|1391.96048558227|0.907440722216744|0.259058013274484|3|1|Harzburgite
SHIMIZU et al.,2009|s.D07SP3L|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|50.6|0.55|13.3|1|9.3|0.18|12.3|11.5|1.57|0.063|0.01||3.8|||0.973387096774194|0.5|49.1255303653688|0.479709505002653|11.5654422617302|0.920955942833813|0.238767896035151|9.10651739877147|0.175736411410905|16.9263165980183|10.0203184103296|1.36314762463705|0.054699554364417|0.022858031497639||1377.82966481615|1485.02663844291|0.913657199738198|0.292937815250985|3.6|1|Harzburgite
SHIMIZU et al.,2009|s.D07SP3U|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|50.5|0.55|13.1|1.1|9.4|0.16|12.5|11.3|1.56|0.065|0.03||3.6|||0.973670212765957|0.5|49.060004513044|0.479136945684073|11.3779855863397|1.01211893438758|0.238467865213098|9.19504662819704|0.156028670396046|17.1701508826437|9.83413943188666|1.35276316266339|0.056365131777641|0.06779224776702||1384.2463309852|1491.30193241166|0.913986506749797|0.296327166055529|3.7|1|Harzburgite
SHIMIZU et al.,2009|s.D18SP2|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|47.8|0.77|14.1|1.3|10.2|0.21|10.9|12.3|1.33|0.158|0.03||5.9|||0.966029411764706|0.5|46.5326374267359|0.616846121119206|11.239580404396|1.14215526334959|0.306025576897621|9.96772403173412|0.20345935537634|18.8522814027835|9.83723501212313|1.05717926564633|0.125589717272271|0.119286422566064||1417.10995113621|1534.32093293607|0.918053524536033|0.277262113127566|4|2.5|Spinel Peridotite
SHIMIZU et al.,2009|s.D24SP1|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|48.7|0.75|11.5|1.3|9.2|0.2|15.8|10.4|1.47|0.03|0.07||0.5|||0.963315217391304|0.5|48.8532788607222|0.744352793668254|11.4103728075436|1.29670965738256|0.372012200680287|8.90649694789455|0.200514401928367|16.3321457898684|10.3206831954546|1.45828782666672|0.029760976054423|0.075384542136093||1370.88706768618|1469.69329475771|0.91290192872995|0.279394688884902|3.5|1|Harzburgite
SHIMIZU et al.,2009|s.D29SP2|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|50.5|0.43|15.5|1.3|8.7|0.17|8.6|13|1.68|0.009|0.01||0.5|||0.977758620689655|0.5|48.446025554541|0.346040290934749|12.4059692529326|1.15342462698895|0.171736868955603|8.97803446489937|0.169055841397806|16.4760955247112|10.4473054757279|1.34194390625774|0.007188985212095|0.05717920744095||1370.51472930753|1473.41354721263|0.913413328229103|0.276492965618442|3.5|1.2|Harzburgite
SHIMIZU et al.,2009|s.D33SP1|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|49|0.6|14.8|0.8|9.1|0.16|10|12.3|1.9|0.028|0.06||0.6|||0.97032967032967|0.5|47.9333353309644|0.50185041130671|12.3232534707398|0.725387890361555|0.249317647661142|9.15704859464935|0.158861811357101|16.8422639326759|10.2743875177455|1.57901176852056|0.02326964711504|0.232011976902848||1382.35258680291|1482.86115270679|0.914484199453232|0.270514001988772|3.5|1.2|Harzburgite
SHIMIZU et al.,2009|s.D34SP3|90||3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|49.3|0.69|13.3|1.1|8.5|0.18|12.9|11.2|1.61|0.042|0.06||2|||0.963470588235294|0.5|49.3623253450693|0.663217369795595|12.7684722379985|1.0799046689762|0.331038872706367|8.32684266569903|0.180879628839843|14.8557684860747|10.7612097313232|1.54484807262971|0.040300384503384|0.085192536384164||1340.50607071639|1431.33669468754|0.910378157897076|0.263022706330323|3.2|1|Harzburgite
POLAT et al.,2009|s.497120|2970||63.0186|-49.4675|NORTH ATLANTIC CRATON_ARCHEAN / FISKENAESSET LAYERED COMPLEX|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|50.8|0.78|15.4||10.26|0.22|5.1|14.8|1.4|0.1||0.06|1.43|0.11|4.5|0.96578947368421|0.5|46.5751874345394|0.459757687723609|8.97460498093511||0.225698486448483|11.0330963335294|0.213779953865438|22.913318739936|8.70176243722852|0.810199694943272|0.057871406781662||0.034722844068997|1475.39785324758|1636.21922120523|0.925666375794883|0.370635788572124|6|3.5|Garnet Peridotite
SAID et al.,2010|s.1786-12A|2700||-29|121.5|WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.43|0.65|13.62||11.36|0.2|9.48|12.55|1.13|0.13||0.06|2.05||9|0.97425176056338|0.5|46.4469608138796|0.440378340946603|9.15680245535553||0.217119195262436|11.0896331440084|0.186470378467844|23.1006365865184|8.48016112326454|0.75490674045093|0.086847678104974||0.040083543740757|1478.39945120722|1640.85249587542|0.925999057903522|0.37216843901361|6|3.5|Garnet Peridotite
SAID et al.,2010|s.BVD1-3|2700||-30.75|121.4|WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|45.54|0.48|8.44||10.4|0.18|21|8.21|0.73|0.33||0.04|1.4||11|0.979230769230769|0.5|47.7362599702463|0.502357187962065|8.83294368226414||0.251163079921897|10.6719367884613|0.188592902467492|22.0732535355624|8.5923287368057|0.763954368095769|0.345349234892608||0.041860513320316|1461.41689467628|1615.36785529889|0.923703853184038|0.380696115415025|5.5|2.5|Harzburgite
ISHIZUKA et al.,2010|s.NT06-08 D16 11|12.8|10.2|23.493|141.542|MARIANA ARC / WEST MARIANA RIDGE / PACIFIC OCEAN|CONVERGENT MARGIN|48.647|0.8219|17.0441||8.01|0.1212|7.2163|12.1457|2.3234|1.1113||0.2504|3.69638718104317|0.174358737580561|11.9128841770756|0.953825842696629|0.5|48.1414157786464|0.69785417987527|14.3997807538319||0.346713532489932|8.39881480664733|0.126517771280063|14.475817679295|10.304011307452|1.96022441023752|0.937590336187033||0.21125944405762|1339.43394163824|1421.40624463917|0.910417781010855|0.183883931252147|3|1.5|Spinel Peridotite
ISHIZUKA et al.,2010|s.NT06-08 D16 2|12.8|10.2|23.493|141.542|MARIANA ARC / WEST MARIANA RIDGE / PACIFIC OCEAN|CONVERGENT MARGIN|48.5818|0.8201|17.3203||8.52|0.1464|8.8629|11.6661|2.1648|0.9807||0.2463|2.99836670290693|0.149803699855518|10.2037660582249|0.956680476730988|0.5|47.6574770068681|0.706336377915628|14.8571885286593||0.351331706204102|8.5596065911936|0.147911423359585|14.7757523537856|10.0385886030977|1.85461757144347|0.840180826087682||0.211009011385129|1344.40860877255|1429.24739727815|0.91069837998545|0.176986897347446|3.2|1.7|Spinel Peridotite
ISHIZUKA et al.,2010|s.NT06-08 D16 9|12.8|10.2|23.493|141.542|MARIANA ARC / WEST MARIANA RIDGE / PACIFIC OCEAN|CONVERGENT MARGIN|47.3522|0.8201|17.1936||8.83|0.2658|9.3168|11.4653|2.0011|0.6994||0.2455|3.50548762767776|0.156517380659122|6.29373904886025|0.958205549263873|0.5|47.0261061589692|0.71021996911634|14.8291641629872||0.353161649795722|8.90258139581331|0.269500185546802|15.4531576694387|9.91882257421923|1.72347708183446|0.602368632769486||0.211440519509449|1355.47567662211|1446.9011024616|0.911466255206947|0.168546624623587|3.3|2|Spinel Peridotite
ISHIZUKA et al.,2010|s.NT06-08 D26 1|12.8|10.2|23.57|141.409|MARIANA ARC / WEST MARIANA RIDGE / PACIFIC OCEAN|CONVERGENT MARGIN|47.7268|0.719|14.8428||8.36|0.1545|11.9906|11.857|1.7197|1.4134||0.3329|4.76500654860037|0.305320330327571|25.2791443698121|0.961297846889952|0.5|47.8472051344043|0.697772915825519|14.3905187112263||0.348427811479339|8.15851134100031|0.155559226435913|13.5388980829962|11.5038556094906|1.66673520834776|1.36986889776049||0.322647061033302|1318.57564982843|1396.81513722434|0.907999769404813|0.117323192296061|3|1.8|Spinel Peridotite
SIENA et al,1993|s.131-808C-105R-1,20-26|20|5|32.3547|134.9517|HONSHU ARC / SOUTHWESTERN HONSHU ARC / PACIFIC OCEAN|CONVERGENT MARGIN|49.16|1.71|17.05||7.794|0.33|6.07|12.27|3.34|0.06||0.19|3||0|0.901270207852194|0.5|48.5165782420072|1.46593497435263|14.5471532520676||0.72865745195895|7.89538727931807|0.351281032016299|12.9199734133941|10.5155252875956|2.8464513327987|0.051133856277821||0.1619238782131|1309.30588730642|1380.48947973083|0.906675094682388|0.103924329302203|2.6|1.5|Spinel Peridotite
 ZIMMER et al.,2010|s.84AU-112|1.05|1.05|59.33916|-153.41972|ALEUTIAN ARC / ALASKA PENINSULA / AUGUSTINE ISLAND / AUGUSTINE / PACIFIC OCEAN|CONVERGENT MARGIN|52|0.56|13.37||8.69|0.17|11.27|11.67|1.87|0.33||0.07||||0.971001150747986|0.5|50.6249899176456|0.494544726879462|11.7716737496273||0.246220296981904|8.61743402581518|0.168143787368114|15.7841711996332|10.2966791740888|1.64439984055772|0.290188207157245||0.061555074245476|1353.8548126647|1455.49953123093|0.911768509195331|0.296592430431783|3.3|1|Harzburgite
HOLLINGS et al.,2010|s.CB-1|1110|30|49|-89.5|MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / THUNDER BAY AREA / PIGEON RIVER DIKES|CONTINENTAL FLOOD BASALT|47.84|1.01|19.63||8.34|0.12|7.65|11.81|2.29|0.28||0.1|4.29|0.29|6|0.945503597122302|0.5|46.9902933350619|0.85790191862511|16.5973850728917||0.426443149546546|8.47509843651121|0.123103685110827|14.2517033599734|10.0234112219045|1.93377190586453|0.236443726481253||0.084444188029019|1328.90890994818|1415.53738800774|0.909025711592686|0.126491417282808|3|2|Spinel Peridotite
TIMM et al.,2011|s.SO193DR26-|125||-9.3792|-164.2603|MANIHIKI PLATEAU / DANGER ISLANDS TROUGHS / DREDGE 26 / PACIFIC OCEAN|OCEANIC PLATEAU|50.04|0.45|14.95||8.77|0.13|9.31|11.65|1.64|0.92||0.07|11.4|1.22|11.3|0.97690992018244|0.5|49.0817937572008|0.37437462517347|12.375708878899||0.185879301741494|9.08555578596034|0.130938256310311|16.9143352149379|9.67869167497616|1.354853577138|0.760039811565221||0.057829116097354|1377.88209477704|1484.71802934311|0.914461243636773|0.297069072915792|3.6|1|Harzburgite
FREY et al.,2011|s.26-14|60|17|-17.9808|88.7926|NINETYEAST RIDGE / NINETYEAST RIDGE / DREDGE 26 / INDIAN OCEAN|SUBMARINE RIDGE|51.9015384615385|0.694111538461538|14.6684615384615|0.076761538461539|8.50923076923077|0.149234615384615|9.64192307692308|11.8819230769231|1.81115384615385|0.095188461538462||0.079776923076923||||0.963292781594648|0.5|50.3522156220943|0.592970437132465|12.4798176104592|0.070518648015966|0.294833824706939|8.5846205290962|0.149162632697173|15.649055263431|10.1395402114785|1.53862711107723|0.080865326761627||0.067772783049403|1349.05060700877|1451.99197436054|0.911221881605346|0.289540988808774|3.3|1|Harzburgite
FREY et al.,2011|s.26-27|60|17|-17.9808|88.7926|NINETYEAST RIDGE / NINETYEAST RIDGE / DREDGE 26 / INDIAN OCEAN|SUBMARINE RIDGE|51.8692307692308|0.675166483516483|14.7465384615385|0.09163543956044|8.51945054945055|0.143954395604396|9.60131868131868|12.04|1.81906593406593|0.105968131868132||0.048615659340659||||0.964337498548893|0.5|50.2402352439131|0.574914485641492|12.5049694038886|0.083980093379273|0.285839881005095|8.59430101687124|0.143692618210564|15.6598990069597|10.2410313782886|1.54024704373861|0.089725775621324||0.04116405248241|1349.07539917171|1452.27358689876|0.911360178354662|0.287645837872791|3.3|1|Harzburgite
FREY et al.,2011|s.26-28|60|17|-17.9808|88.7926|NINETYEAST RIDGE / NINETYEAST RIDGE / DREDGE 26 / INDIAN OCEAN|SUBMARINE RIDGE|51.8592857142857|0.695457142857143|14.7178571428571|0.078389285714286|8.5025|0.140032142857143|9.62357142857143|12.0228571428571|1.81357142857143|0.093664285714286||0.063164285714286|2.27306666666667|0.133796666666667|1.5729|0.963192506405679|0.5|50.2818470301013|0.594111179726161|12.5218553708651|0.071991570571967|0.295411243520551|8.56919602133264|0.13989446342021|15.5919782837688|10.2597703809887|1.54071144837656|0.079572072558337||0.053660934769571|1347.63781419786|1450.50935682446|0.911206035971322|0.287199616844855|3.3|1|Harzburgite
FREY et al.,2011|s.26-29|60|17|-17.9808|88.7926|NINETYEAST RIDGE / NINETYEAST RIDGE / DREDGE 26 / INDIAN OCEAN|SUBMARINE RIDGE|51.6987857142857|0.695364285714286|14.7294285714286|0.074889047619048|8.51711904761905|0.140875238095238|9.72995238095238|12.0511904761905|1.81454761904762|0.100695||0.056140238095238||||0.963192506405679|0.5|50.1802153057209|0.595987613469824|12.5741161449836|0.068888635081979|0.296927885420332|8.56639975830241|0.140671199172|15.5783340396534|10.3179710615908|1.54679550715673|0.085836586462744||0.047856262985262|1347.33155924291|1450.1548562522|0.911298534948917|0.285244417011343|3.3|1|Harzburgite
FREY et al.,2011|s.26-36|60|17|-17.9808|88.7926|NINETYEAST RIDGE / NINETYEAST RIDGE / DREDGE 26 / INDIAN OCEAN|SUBMARINE RIDGE|51.8403333333333|0.687073333333333|14.6766666666667|0.073606666666667|8.54766666666667|0.145583333333333|9.707|12.0156666666667|1.79133333333333|0.095856666666667||0.073896666666667||||0.963828374215185|0.5|50.2385592446217|0.586198534979741|12.4708138456491|0.06751662196062|0.291468677921776|8.60627903236392|0.145226506323392|15.6897134739729|10.2403686619391|1.51983065868914|0.081328191760186||0.062696549818533|1349.40292657477|1453.04776820841|0.911369854181516|0.288266018541327|3.3|1|Harzburgite
FREY et al.,2011|s.26-74C|60|17|-17.9808|88.7926|NINETYEAST RIDGE / NINETYEAST RIDGE / DREDGE 26 / INDIAN OCEAN|SUBMARINE RIDGE|51.916|0.69032|14.802|0.07757|8.531|0.14395|9.692|11.959|1.804|0.08998||0.08373||||0.963586449419763|0.5|50.2541316849383|0.588826270514632|12.5745154855203|0.071109998216104|0.292786527477632|8.57963708209503|0.143476699307661|15.6281625160786|10.1897351147549|1.53026681993756|0.076326723092008||0.071025078067279|1348.42779625622|1451.44933301502|0.911257859372528|0.287698148257851|3.3|1|Harzburgite
FREY et al.,2011|s.26-76B|60|17|-17.9808|88.7926|NINETYEAST RIDGE / NINETYEAST RIDGE / DREDGE 26 / INDIAN OCEAN|SUBMARINE RIDGE|51.9622222222222|0.698066666666667|14.8355555555556|0.068266666666667|8.50222222222222|0.171377777777778|9.54555555555556|12.0533333333333|1.71111111111111|0.1061||0.080366666666667||||0.963053188708834|0.5|50.2789623401301|0.593612903237486|12.5631680983348|0.062508732308882|0.295128693903969|8.57266997525418|0.171032241663999|15.6198559372656|10.2385448393275|1.44684744727378|0.089713936844268||0.067954854455398|1347.27975108734|1451.23356824772|0.911159486485101|0.288925748117571|3.3|1|Harzburgite
